dataset,gsm,donor_id,compartment,module_id,configured_genes,mapped_genes,mapped_fraction,mapping_pass,mapped_gene_symbols,duplicate_feature_rows
GSE229711,GSM7173748,SP21.015,AF,ecm_collagen_remodeling,24,24,1.000000,True,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP13;MMP2;MMP3;MMP9;POSTN;SPARC;TIMP1;TIMP2;TNC,0
GSE229711,GSM7173748,SP21.015,AF,inflammatory_nfkb,21,21,1.000000,True,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,0
GSE229711,GSM7173748,SP21.015,AF,hypoxia_oxidative_stress,18,17,0.944444,True,BNIP3;CA9;EGLN1;EPAS1;GCLM;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,0
GSE229711,GSM7173748,SP21.015,AF,disc_matrix_homeostasis,15,15,1.000000,True,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,0
GSE229711,GSM7173749,SP21.018,AF,ecm_collagen_remodeling,24,24,1.000000,True,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP13;MMP2;MMP3;MMP9;POSTN;SPARC;TIMP1;TIMP2;TNC,0
GSE229711,GSM7173749,SP21.018,AF,inflammatory_nfkb,21,21,1.000000,True,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,0
GSE229711,GSM7173749,SP21.018,AF,hypoxia_oxidative_stress,18,17,0.944444,True,BNIP3;CA9;EGLN1;EPAS1;GCLM;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,0
GSE229711,GSM7173749,SP21.018,AF,disc_matrix_homeostasis,15,15,1.000000,True,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,0
GSE229711,GSM7173750,SP22.001,AF,ecm_collagen_remodeling,24,24,1.000000,True,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP13;MMP2;MMP3;MMP9;POSTN;SPARC;TIMP1;TIMP2;TNC,0
GSE229711,GSM7173750,SP22.001,AF,inflammatory_nfkb,21,21,1.000000,True,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,0
GSE229711,GSM7173750,SP22.001,AF,hypoxia_oxidative_stress,18,17,0.944444,True,BNIP3;CA9;EGLN1;EPAS1;GCLM;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,0
GSE229711,GSM7173750,SP22.001,AF,disc_matrix_homeostasis,15,15,1.000000,True,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,0
GSE229711,GSM7173751,SP21.015,NP,ecm_collagen_remodeling,24,24,1.000000,True,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP13;MMP2;MMP3;MMP9;POSTN;SPARC;TIMP1;TIMP2;TNC,0
GSE229711,GSM7173751,SP21.015,NP,inflammatory_nfkb,21,21,1.000000,True,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,0
GSE229711,GSM7173751,SP21.015,NP,hypoxia_oxidative_stress,18,17,0.944444,True,BNIP3;CA9;EGLN1;EPAS1;GCLM;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,0
GSE229711,GSM7173751,SP21.015,NP,disc_matrix_homeostasis,15,15,1.000000,True,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,0
GSE229711,GSM7173752,SP21.018,NP,ecm_collagen_remodeling,24,24,1.000000,True,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP13;MMP2;MMP3;MMP9;POSTN;SPARC;TIMP1;TIMP2;TNC,0
GSE229711,GSM7173752,SP21.018,NP,inflammatory_nfkb,21,21,1.000000,True,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,0
GSE229711,GSM7173752,SP21.018,NP,hypoxia_oxidative_stress,18,17,0.944444,True,BNIP3;CA9;EGLN1;EPAS1;GCLM;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,0
GSE229711,GSM7173752,SP21.018,NP,disc_matrix_homeostasis,15,15,1.000000,True,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,0
GSE229711,GSM7173753,SP22.001,NP,ecm_collagen_remodeling,24,24,1.000000,True,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP13;MMP2;MMP3;MMP9;POSTN;SPARC;TIMP1;TIMP2;TNC,0
GSE229711,GSM7173753,SP22.001,NP,inflammatory_nfkb,21,21,1.000000,True,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,0
GSE229711,GSM7173753,SP22.001,NP,hypoxia_oxidative_stress,18,17,0.944444,True,BNIP3;CA9;EGLN1;EPAS1;GCLM;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,0
GSE229711,GSM7173753,SP22.001,NP,disc_matrix_homeostasis,15,15,1.000000,True,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,0
