dataset,gsm,donor_id,compartment,disease_state,module_id,gene_symbol,feature_rows_mapped,pseudobulk_count,total_umi_included_cells
GSE230808,GSM7235331,SP20.002,AF,diseased,ecm_collagen_remodeling,ADAMTS4,1,18,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,ecm_collagen_remodeling,ADAMTS5,1,13,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,ecm_collagen_remodeling,COL1A1,1,17,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,ecm_collagen_remodeling,COL1A2,1,65,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,ecm_collagen_remodeling,COL3A1,1,11,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,ecm_collagen_remodeling,COL5A1,1,21,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,ecm_collagen_remodeling,COL5A2,1,44,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,ecm_collagen_remodeling,COL6A1,1,244,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,ecm_collagen_remodeling,COL6A2,1,219,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,ecm_collagen_remodeling,COL6A3,1,138,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,ecm_collagen_remodeling,DCN,1,20754,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,ecm_collagen_remodeling,FN1,1,8582,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,ecm_collagen_remodeling,LOX,1,196,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,ecm_collagen_remodeling,LOXL2,1,23,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,ecm_collagen_remodeling,LUM,1,6341,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,ecm_collagen_remodeling,MMP2,1,14,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,ecm_collagen_remodeling,MMP3,1,846,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,ecm_collagen_remodeling,MMP9,1,0,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,ecm_collagen_remodeling,MMP13,1,0,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,ecm_collagen_remodeling,POSTN,1,0,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,ecm_collagen_remodeling,SPARC,1,680,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,ecm_collagen_remodeling,TIMP1,1,1066,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,ecm_collagen_remodeling,TIMP2,1,1476,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,ecm_collagen_remodeling,TNC,1,7,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,inflammatory_nfkb,CCL2,1,237,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,inflammatory_nfkb,CCL5,1,1,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,inflammatory_nfkb,CXCL8,1,0,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,inflammatory_nfkb,FOS,1,11077,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,inflammatory_nfkb,IKBKB,1,18,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,inflammatory_nfkb,IKBKG,1,13,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,inflammatory_nfkb,IL1B,1,0,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,inflammatory_nfkb,IL6,1,13,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,inflammatory_nfkb,JUN,1,3188,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,inflammatory_nfkb,NFKB1,1,39,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,inflammatory_nfkb,NFKB2,1,23,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,inflammatory_nfkb,NFKBIA,1,1093,3166379
GSE230808,GSM7235331,SP20.002,AF,diseased,inflammatory_nfkb,NLRP3,1,0,3166379
